         293958151 function calls (293951043 primitive calls) in 1240.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021 1240.889 1240.889 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/main_2d.py:23(train)
        1  384.642  384.642 1233.757 1233.757 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/sgd_trainer.py:20(optimize)
   600000   15.771    0.000  528.876    0.001 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/network.py:52(backprop)
   600000   23.198    0.000  298.057    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/network.py:29(forward)
  1800000  160.114    0.000  216.018    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer/fully_connected_layer.py:32(calculate_delta_weights)
  1800000    1.417    0.000  166.088    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:1057(einsum)
  1800000  164.670    0.000  164.670    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
   600000    9.378    0.000  125.521    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer_2D/convolution_layer.py:33(forward)
   600000    9.494    0.000  109.445    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer_2D/convolution_layer.py:86(backward)
   600000   18.143    0.000   72.206    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer_2D/pooling_2D_layer.py:106(backward)
   600000    7.308    0.000   63.414    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer_2D/convolution_layer.py:153(calculate_delta_weights)
   600000    6.961    0.000   54.965    0.000 /Users/luisadosch/Documents/Master/dl-framework-dosch-esswein-goebel-1/layer_2D/pooling_2D_layer.py:29(forward)
  5400150   53.495    0.000   53.495    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   600000    7.774    0.000   50.497    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:544(pad)
  3000001    6.831    0.000   50.468    0.000 /opt/miniconda3/envs/pnnnew/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
